Type	AgentConfig	TestInstanzID	MaxRounds	VorschlaegeProRunde	ErzwungeneAkzeptanz	AnzahlPlanningObjects	ClientID	TargetValue
local	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576e	1000	100	1	6	db2ebd12-bd93-4ba8-bc82-2a9fc84f3afe	30,73991440625
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576e	1000	100	1	6	d18650f9-5b1f-4d3d-b4ab-24b430b9c3a8	6,36037
local	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576e	1000	100	1	6	db2ebd12-bd93-4ba8-bc82-2a9fc84f3afe	30,73943636875
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576e	1000	100	1	6	d18650f9-5b1f-4d3d-b4ab-24b430b9c3a8	6,46079
local	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576e	1000	100	1	6	db2ebd12-bd93-4ba8-bc82-2a9fc84f3afe	30,73991440625
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576e	1000	100	1	6	d18650f9-5b1f-4d3d-b4ab-24b430b9c3a8	6,39537
local	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576e	1000	100	1	6	db2ebd12-bd93-4ba8-bc82-2a9fc84f3afe	30,4610038
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576e	1000	100	1	6	d18650f9-5b1f-4d3d-b4ab-24b430b9c3a8	6,40505
local	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576e	1000	100	1	6	db2ebd12-bd93-4ba8-bc82-2a9fc84f3afe	30,74449136875
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576e	1000	100	1	6	d18650f9-5b1f-4d3d-b4ab-24b430b9c3a8	6,46969
local	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576e	1000	100	1	6	db2ebd12-bd93-4ba8-bc82-2a9fc84f3afe	30,73991440625
