Type	AgentConfig	TestInstanzID	MaxRounds	VorschlaegeProRunde	ErzwungeneAkzeptanz	AnzahlPlanningObjects	ClientID	TargetValue
local	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	d50dcea9-eef4-4442-9f4d-16c95a86e01d	30,2801123875
local	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	d50dcea9-eef4-4442-9f4d-16c95a86e01d	30,38398840625
local	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	d50dcea9-eef4-4442-9f4d-16c95a86e01d	30,40512329375
local	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	d50dcea9-eef4-4442-9f4d-16c95a86e01d	30,1721058375
local	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	d50dcea9-eef4-4442-9f4d-16c95a86e01d	30,18811071875
local	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	d50dcea9-eef4-4442-9f4d-16c95a86e01d	30,30726066875
local	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	d50dcea9-eef4-4442-9f4d-16c95a86e01d	30,34581115
local	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	d50dcea9-eef4-4442-9f4d-16c95a86e01d	30,25931650625
local	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	d50dcea9-eef4-4442-9f4d-16c95a86e01d	29,7293692476716
local	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	d50dcea9-eef4-4442-9f4d-16c95a86e01d	30,55375663125
local	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	d50dcea9-eef4-4442-9f4d-16c95a86e01d	30,314219139951
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	1000	100	1	6	0c63161c-0c19-4a0b-a102-f3332ca9941d	6,38636
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	1000	100	1	6	0c63161c-0c19-4a0b-a102-f3332ca9941d	6,29287
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	1000	100	1	6	0c63161c-0c19-4a0b-a102-f3332ca9941d	6,4323
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9abad5ec-c6b7-40e7-a7b4-19cb9c7a0ee2	5,97647058823529
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9abad5ec-c6b7-40e7-a7b4-19cb9c7a0ee2	6
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9abad5ec-c6b7-40e7-a7b4-19cb9c7a0ee2	6,03531
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9abad5ec-c6b7-40e7-a7b4-19cb9c7a0ee2	6,01105
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9abad5ec-c6b7-40e7-a7b4-19cb9c7a0ee2	6,04389392156863
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9abad5ec-c6b7-40e7-a7b4-19cb9c7a0ee2	6,05319
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9abad5ec-c6b7-40e7-a7b4-19cb9c7a0ee2	6,07665
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9abad5ec-c6b7-40e7-a7b4-19cb9c7a0ee2	6,0702168627451
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9abad5ec-c6b7-40e7-a7b4-19cb9c7a0ee2	6,14482058823529
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9abad5ec-c6b7-40e7-a7b4-19cb9c7a0ee2	6,17233745098039
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9abad5ec-c6b7-40e7-a7b4-19cb9c7a0ee2	6,0698
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9abad5ec-c6b7-40e7-a7b4-19cb9c7a0ee2	6,00766
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9abad5ec-c6b7-40e7-a7b4-19cb9c7a0ee2	6,19251
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9abad5ec-c6b7-40e7-a7b4-19cb9c7a0ee2	6,05383
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9abad5ec-c6b7-40e7-a7b4-19cb9c7a0ee2	6,01977058823529
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9abad5ec-c6b7-40e7-a7b4-19cb9c7a0ee2	6
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9abad5ec-c6b7-40e7-a7b4-19cb9c7a0ee2	6,12140901960784
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9abad5ec-c6b7-40e7-a7b4-19cb9c7a0ee2	6,07806
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9abad5ec-c6b7-40e7-a7b4-19cb9c7a0ee2	6,0098168627451
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9abad5ec-c6b7-40e7-a7b4-19cb9c7a0ee2	6,03715
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9abad5ec-c6b7-40e7-a7b4-19cb9c7a0ee2	6,11981274509804
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9abad5ec-c6b7-40e7-a7b4-19cb9c7a0ee2	6,08169
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9abad5ec-c6b7-40e7-a7b4-19cb9c7a0ee2	6,07666
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9abad5ec-c6b7-40e7-a7b4-19cb9c7a0ee2	6,13385
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9abad5ec-c6b7-40e7-a7b4-19cb9c7a0ee2	6,09628745098039
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9abad5ec-c6b7-40e7-a7b4-19cb9c7a0ee2	5,93447607843137
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9abad5ec-c6b7-40e7-a7b4-19cb9c7a0ee2	6,06041588235294
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9abad5ec-c6b7-40e7-a7b4-19cb9c7a0ee2	6,03140843137255
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9abad5ec-c6b7-40e7-a7b4-19cb9c7a0ee2	6,11163431372549
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9abad5ec-c6b7-40e7-a7b4-19cb9c7a0ee2	6,00626
remote	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9898fac6-baf8-47ee-9457-0c154f6874fe	30,20917961875
remote	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	421842d4-b71f-49cb-8f9e-84019b019813	6
remote	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9898fac6-baf8-47ee-9457-0c154f6874fe	30,32042466875
